adjectifs,ensembles des traits morpho,catégorie
acéré,"[('acéré', 'ms'), ('acérée', 'fs'), ('acérées', 'fp'), ('acérés', 'mp')]",variations en genre et en nombre silencieuses
acétique,"[('acétique', 's'), ('acétiques', 'p')]",variations en genre et en nombre silencieuses
acétylsalicylique,"[('acétylsalicylique', 's'), ('acétylsalicyliques', 'p')]",variations en genre et en nombre silencieuses
acétylénique,"[('acétylénique', 's'), ('acétyléniques', 'p')]",variations en genre et en nombre silencieuses
acône,"[('acône', 's'), ('acônes', 'p')]",variations en genre et en nombre silencieuses
ad hoc,"[('ad hoc', '')]",invariable
adamantin,"[('adamantin', 'ms'), ('adamantine', 'fs'), ('adamantines', 'fp'), ('adamantins', 'mp')]",variations en genre audible et en nombre silencieuses
adamien,"[('adamien', 'ms'), ('adamienne', 'fs'), ('adamiennes', 'fp'), ('adamiens', 'mp')]",variations en genre audible et en nombre silencieuses
adamique,"[('adamique', 's'), ('adamiques', 'p')]",variations en genre et en nombre silencieuses
adamite,"[('adamite', 's'), ('adamites', 'p')]",variations en genre et en nombre silencieuses
adaptable,"[('adaptable', 's'), ('adaptables', 'p')]",variations en genre et en nombre silencieuses
adaptatif,"[('adaptatif', 'ms'), ('adaptatifs', 'mp'), ('adaptative', 'fs'), ('adaptatives', 'fp')]",variations en genre audible et en nombre silencieuses
adapté,"[('adapté', 'ms'), ('adaptée', 'fs'), ('adaptées', 'fp'), ('adaptés', 'mp')]",variations en genre et en nombre silencieuses
additif,"[('additif', 'ms'), ('additifs', 'mp'), ('additive', 'fs'), ('additives', 'fp')]",variations en genre audible et en nombre silencieuses
additionnable,"[('additionnable', 's'), ('additionnables', 'p')]",variations en genre et en nombre silencieuses
additionnel,"[('additionnel', 'ms'), ('additionnelle', 'fs'), ('additionnelles', 'fp'), ('additionnels', 'mp')]",variations en genre et en nombre silencieuses
additionné,"[('additionné', 'ms'), ('additionnée', 'fs'), ('additionnées', 'fp'), ('additionnés', 'mp')]",variations en genre et en nombre silencieuses
adducteur,"[('adducteur', 'ms'), ('adducteurs', 'mp'), ('adductrice', 'fs'), ('adductrices', 'fp')]",invariable
adextré,"[('adextré', 'ms'), ('adextrée', 'fs'), ('adextrées', 'fp'), ('adextrés', 'mp')]",variations en genre et en nombre silencieuses
adhérent,"[('adhérent', 'ms'), ('adhérente', 'fs'), ('adhérentes', 'fp'), ('adhérents', 'mp')]",variations en genre audible et en nombre silencieuses
adhésif,"[('adhésif', 'ms'), ('adhésifs', 'mp'), ('adhésive', 'fs'), ('adhésives', 'fp')]",variations en genre audible et en nombre silencieuses
adiabatique,"[('adiabatique', 's'), ('adiabatiques', 'p')]",variations en genre et en nombre silencieuses
adipeux,"[('adipeuse', 'fs'), ('adipeuses', 'fp'), ('adipeux', 'm')]",variations en genre audible et en nombre silencieuses
adipique,"[('adipique', 's'), ('adipiques', 'p')]",variations en genre et en nombre silencieuses
adiré,"[('adiré', 'ms'), ('adirée', 'fs'), ('adirées', 'fp'), ('adirés', 'mp')]",variations en genre et en nombre silencieuses
adjacent,"[('adjacent', 'ms'), ('adjacente', 'fs'), ('adjacentes', 'fp'), ('adjacents', 'mp')]",variations en genre audible et en nombre silencieuses
adjectif,"[('adjectif', 'ms'), ('adjectifs', 'mp'), ('adjective', 'fs'), ('adjectives', 'fp')]",variations en genre audible et en nombre silencieuses
adjectival,"[('adjectival', 'ms'), ('adjectivale', 'fs'), ('adjectivales', 'fp'), ('adjectivaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
