adjectifs,ensembles des traits morpho,catégorie
adjectivé,"[('adjectivé', 'ms'), ('adjectivée', 'fs'), ('adjectivées', 'fp'), ('adjectivés', 'mp')]",variations en genre et en nombre silencieuses
adjoint,"[('adjoint', 'ms'), ('adjointe', 'fs'), ('adjointes', 'fp'), ('adjoints', 'mp')]",variations en genre audible et en nombre silencieuses
adjudicatif,"[('adjudicatif', 'ms'), ('adjudicatifs', 'mp'), ('adjudicative', 'fs'), ('adjudicatives', 'fp')]",variations en genre audible et en nombre silencieuses
adjugé,"[('adjugé', 'ms'), ('adjugée', 'fs'), ('adjugées', 'fp'), ('adjugés', 'mp')]",variations en genre et en nombre silencieuses
adjuvant,"[('adjuvant', 'ms'), ('adjuvante', 'fs'), ('adjuvantes', 'fp'), ('adjuvants', 'mp')]",variations en genre audible et en nombre silencieuses
administrable,"[('administrable', 's'), ('administrables', 'p')]",variations en genre et en nombre silencieuses
administratif,"[('administratif', 'ms'), ('administratifs', 'mp'), ('administrative', 'fs'), ('administratives', 'fp')]",variations en genre audible et en nombre silencieuses
administré,"[('administré', 'ms'), ('administrée', 'fs'), ('administrées', 'fp'), ('administrés', 'mp')]",variations en genre et en nombre silencieuses
admirable,"[('admirable', 's'), ('admirables', 'p')]",variations en genre et en nombre silencieuses
admirant,"[('admirant', 'ms'), ('admirante', 'fs'), ('admirantes', 'fp'), ('admirants', 'mp')]",variations en genre audible et en nombre silencieuses
admirateur,"[('admirateur', 'ms'), ('admirateurs', 'mp'), ('admiratrice', 'fs'), ('admiratrices', 'fp')]",invariable
admiratif,"[('admiratif', 'ms'), ('admiratifs', 'mp'), ('admirative', 'fs'), ('admiratives', 'fp')]",variations en genre audible et en nombre silencieuses
admis,"[('admis', 'm'), ('admise', 'fs'), ('admises', 'fp')]",variations en genre audible et en nombre silencieuses
admissible,"[('admissible', 's'), ('admissibles', 'p')]",variations en genre et en nombre silencieuses
adnominal,"[('adnominal', 'ms'), ('adnominale', 'fs'), ('adnominales', 'fp'), ('adnominals', 'mp')]",variations en genre et en nombre silencieuses
adné,"[('adné', 'ms'), ('adnée', 'fs'), ('adnées', 'fp'), ('adnés', 'mp')]",variations en genre et en nombre silencieuses
adolescent,"[('adolescent', 'ms'), ('adolescente', 'fs'), ('adolescentes', 'fp'), ('adolescents', 'mp')]",variations en genre audible et en nombre silencieuses
adoptable,"[('adoptable', 's'), ('adoptables', 'p')]",variations en genre et en nombre silencieuses
adoptant,"[('adoptant', 'ms'), ('adoptante', 'fs'), ('adoptantes', 'fp'), ('adoptants', 'mp')]",variations en genre audible et en nombre silencieuses
adoptianiste,"[('adoptianiste', 's'), ('adoptianistes', 'p')]",variations en genre et en nombre silencieuses
adoptif,"[('adoptif', 'ms'), ('adoptifs', 'mp'), ('adoptive', 'fs'), ('adoptives', 'fp')]",variations en genre audible et en nombre silencieuses
adorable,"[('adorable', 's'), ('adorables', 'p')]",variations en genre et en nombre silencieuses
adoral,"[('adoral', 'ms'), ('adorale', 'fs'), ('adorales', 'fp'), ('adorals', 'mp')]",variations en genre et en nombre silencieuses
adossé,"[('adossé', 'ms'), ('adossée', 'fs'), ('adossées', 'fp'), ('adossés', 'mp')]",variations en genre et en nombre silencieuses
adouci,"[('adouci', 'ms'), ('adoucie', 'fs'), ('adoucies', 'fp'), ('adoucis', 'mp')]",variations en genre et en nombre silencieuses
adoucissant,"[('adoucissant', 'ms'), ('adoucissante', 'fs'), ('adoucissantes', 'fp'), ('adoucissants', 'mp')]",variations en genre audible et en nombre silencieuses
adragant,"[('adragant', 'ms'), ('adragante', 'fs'), ('adragantes', 'fp'), ('adragants', 'mp')]",variations en genre audible et en nombre silencieuses
adressé,"[('adressé', 'ms'), ('adressée', 'fs'), ('adressées', 'fp'), ('adressés', 'mp')]",variations en genre et en nombre silencieuses
adroit,"[('adroit', 'ms'), ('adroite', 'fs'), ('adroites', 'fp'), ('adroits', 'mp')]",variations en genre audible et en nombre silencieuses
adrénergique,"[('adrénergique', 's'), ('adrénergiques', 'p')]",variations en genre et en nombre silencieuses
adscrit,"[('adscrit', 'ms'), ('adscrite', 'fs'), ('adscrites', 'fp'), ('adscrits', 'mp')]",variations en genre audible et en nombre silencieuses
adsorbant,"[('adsorbant', 'ms'), ('adsorbante', 'fs'), ('adsorbantes', 'fp'), ('adsorbants', 'mp')]",variations en genre audible et en nombre silencieuses
adulaire,"[('adulaire', 's'), ('adulaires', 'p')]",variations en genre et en nombre silencieuses
adulateur,"[('adulateur', 'ms'), ('adulateurs', 'mp'), ('adulatrice', 'fs'), ('adulatrices', 'fp')]",invariable
adulte,"[('adulte', 's'), ('adultes', 'p')]",variations en genre et en nombre silencieuses
adultère,"[('adultère', 's'), ('adultères', 'p')]",variations en genre et en nombre silencieuses
adultérin,"[('adultérin', 'ms'), ('adultérine', 'fs'), ('adultérines', 'fp'), ('adultérins', 'mp')]",variations en genre audible et en nombre silencieuses
adventice,"[('adventice', 's'), ('adventices', 'p')]",variations en genre et en nombre silencieuses
adventif,"[('adventif', 'ms'), ('adventifs', 'mp'), ('adventive', 'fs'), ('adventives', 'fp')]",variations en genre audible et en nombre silencieuses
adventiste,"[('adventiste', 's'), ('adventistes', 'p')]",variations en genre et en nombre silencieuses
adverbal,"[('adverbal', 'ms'), ('adverbale', 'fs'), ('adverbales', 'fp'), ('adverbals', 'mp')]",variations en genre et en nombre silencieuses
adverbial,"[('adverbial', 'ms'), ('adverbiale', 'fs'), ('adverbiales', 'fp'), ('adverbiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
adversatif,"[('adversatif', 'ms'), ('adversatifs', 'mp'), ('adversative', 'fs'), ('adversatives', 'fp')]",variations en genre audible et en nombre silencieuses
adverse,"[('adverse', 's'), ('adverses', 'p')]",variations en genre et en nombre silencieuses
adynamique,"[('adynamique', 's'), ('adynamiques', 'p')]",variations en genre et en nombre silencieuses
adénoïde,"[('adénoïde', 's'), ('adénoïdes', 'p')]",variations en genre et en nombre silencieuses
adéquat,"[('adéquat', 'ms'), ('adéquate', 'fs'), ('adéquates', 'fp'), ('adéquats', 'mp')]",variations en genre audible et en nombre silencieuses
afar,"[('afar', 'ms'), ('afare', 'fs'), ('afares', 'fp'), ('afars', 'mp')]",variations en genre et en nombre silencieuses
affable,"[('affable', 's'), ('affables', 'p')]",variations en genre et en nombre silencieuses
affabulateur,"[('affabulateur', 'ms'), ('affabulateurs', 'mp'), ('affabulatrice', 'fs'), ('affabulatrices', 'fp')]",invariable
affadissant,"[('affadissant', 'ms'), ('affadissante', 'fs'), ('affadissantes', 'fp'), ('affadissants', 'mp')]",variations en genre audible et en nombre silencieuses
affaibli,"[('affaibli', 'ms'), ('affaiblie', 'fs'), ('affaiblies', 'fp'), ('affaiblis', 'mp')]",variations en genre et en nombre silencieuses
affaiblissant,"[('affaiblissant', 'ms'), ('affaiblissante', 'fs'), ('affaiblissantes', 'fp'), ('affaiblissants', 'mp')]",variations en genre audible et en nombre silencieuses
affaiblisseur,"[('affaiblisseur', 'ms'), ('affaiblisseurs', 'mp'), ('affaiblisseuse', 'fs'), ('affaiblisseuses', 'fp')]",invariable
affairiste,"[('affairiste', 's'), ('affairistes', 'p')]",variations en genre et en nombre silencieuses
affairé,"[('affairé', 'ms'), ('affairée', 'fs'), ('affairées', 'fp'), ('affairés', 'mp')]",variations en genre et en nombre silencieuses
affamé,"[('affamé', 'ms'), ('affamée', 'fs'), ('affamées', 'fp'), ('affamés', 'mp')]",variations en genre et en nombre silencieuses
affectable,"[('affectable', 's'), ('affectables', 'p')]",variations en genre et en nombre silencieuses
affectataire,"[('affectataire', 's'), ('affectataires', 'p')]",variations en genre et en nombre silencieuses
affectif,"[('affectif', 'ms'), ('affectifs', 'mp'), ('affective', 'fs'), ('affectives', 'fp')]",variations en genre audible et en nombre silencieuses
affectionné,"[('affectionné', 'ms'), ('affectionnée', 'fs'), ('affectionnées', 'fp'), ('affectionnés', 'mp')]",variations en genre et en nombre silencieuses
affectueux,"[('affectueuse', 'fs'), ('affectueuses', 'fp'), ('affectueux', 'm')]",variations en genre audible et en nombre silencieuses
affecté,"[('affecté', 'ms'), ('affectée', 'fs'), ('affectées', 'fp'), ('affectés', 'mp')]",variations en genre et en nombre silencieuses
affermable,"[('affermable', 's'), ('affermables', 'p')]",variations en genre et en nombre silencieuses
affermi,"[('affermi', 'ms'), ('affermie', 'fs'), ('affermies', 'fp'), ('affermis', 'mp')]",variations en genre et en nombre silencieuses
affidé,"[('affidé', 'ms'), ('affidée', 'fs'), ('affidées', 'fp'), ('affidés', 'mp')]",variations en genre et en nombre silencieuses
affilié,"[('affilié', 'ms'), ('affiliée', 'fs'), ('affiliées', 'fp'), ('affiliés', 'mp')]",variations en genre et en nombre silencieuses
affilé,"[('affilé', 'ms'), ('affilée', 'fs'), ('affilées', 'fp'), ('affilés', 'mp')]",variations en genre et en nombre silencieuses
affin,"[('affin', 'ms'), ('affine', 'fs'), ('affines', 'fp'), ('affins', 'mp')]",variations en genre audible et en nombre silencieuses
affine,"[('affine', 's'), ('affines', 'p')]",variations en genre et en nombre silencieuses
affiné,"[('affiné', 'ms'), ('affinée', 'fs'), ('affinées', 'fp'), ('affinés', 'mp')]",variations en genre et en nombre silencieuses
affirmatif,"[('affirmatif', 'ms'), ('affirmatifs', 'mp'), ('affirmative', 'fs'), ('affirmatives', 'fp')]",variations en genre audible et en nombre silencieuses
affixal,"[('affixal', 'ms'), ('affixale', 'fs'), ('affixales', 'fp'), ('affixaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
affixe,"[('affixe', 's'), ('affixes', 'p')]",variations en genre et en nombre silencieuses
affixé,"[('affixé', 'ms'), ('affixée', 'fs'), ('affixées', 'fp'), ('affixés', 'mp')]",variations en genre et en nombre silencieuses
afflictif,"[('afflictif', 'ms'), ('afflictifs', 'mp'), ('afflictive', 'fs'), ('afflictives', 'fp')]",variations en genre audible et en nombre silencieuses
affligeant,"[('affligeant', 'ms'), ('affligeante', 'fs'), ('affligeantes', 'fp'), ('affligeants', 'mp')]",variations en genre audible et en nombre silencieuses
affluent,"[('affluent', 'ms'), ('affluente', 'fs'), ('affluentes', 'fp'), ('affluents', 'mp')]",variations en genre audible et en nombre silencieuses
affolant,"[('affolant', 'ms'), ('affolante', 'fs'), ('affolantes', 'fp'), ('affolants', 'mp')]",variations en genre audible et en nombre silencieuses
affolé,"[('affolé', 'ms'), ('affolée', 'fs'), ('affolées', 'fp'), ('affolés', 'mp')]",variations en genre et en nombre silencieuses
affreux,"[('affreuse', 'fs'), ('affreuses', 'fp'), ('affreux', 'm')]",variations en genre audible et en nombre silencieuses
affriolant,"[('affriolant', 'ms'), ('affriolante', 'fs'), ('affriolantes', 'fp'), ('affriolants', 'mp')]",variations en genre audible et en nombre silencieuses
affriqué,"[('affriqué', 'ms'), ('affriquée', 'fs'), ('affriquées', 'fp'), ('affriqués', 'mp')]",variations en genre et en nombre silencieuses
affronté,"[('affronté', 'ms'), ('affrontée', 'fs'), ('affrontées', 'fp'), ('affrontés', 'mp')]",variations en genre et en nombre silencieuses
afférent,"[('afférent', 'ms'), ('afférente', 'fs'), ('afférentes', 'fp'), ('afférents', 'mp')]",variations en genre audible et en nombre silencieuses
affété,"[('affété', 'ms'), ('affétée', 'fs'), ('affétées', 'fp'), ('affétés', 'mp')]",variations en genre et en nombre silencieuses
affûté,"[('affûté', 'ms'), ('affûtée', 'fs'), ('affûtées', 'fp'), ('affûtés', 'mp')]",variations en genre et en nombre silencieuses
afghan,"[('afghan', 'ms'), ('afghane', 'fs'), ('afghanes', 'fp'), ('afghans', 'mp')]",variations en genre audible et en nombre silencieuses
afocal,"[('afocal', 'ms'), ('afocale', 'fs'), ('afocales', 'fp'), ('afocaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
africain,"[('africain', 'ms'), ('africaine', 'fs'), ('africaines', 'fp'), ('africains', 'mp')]",variations en genre audible et en nombre silencieuses
africaniste,"[('africaniste', 's'), ('africanistes', 'p')]",variations en genre et en nombre silencieuses
afrikander,"[('afrikander', 's'), ('afrikanders', 'p')]",variations en genre et en nombre silencieuses
afrikaner,"[('afrikaner', 's'), ('afrikaners', 'p')]",variations en genre et en nombre silencieuses
afro,"[('afro', '')]",variations en genre et en nombre silencieuses
afro-asiatique,"[('afro-asiatique', 's'), ('afro-asiatiques', 'p')]",variations en genre et en nombre silencieuses
afro-cubain,"[('afro-cubain', 'ms'), ('afro-cubaine', 'fs'), ('afro-cubaines', 'fp'), ('afro-cubains', 'mp')]",variations en genre audible et en nombre silencieuses
agatisé,"[('agatisé', 'ms'), ('agatisée', 'fs'), ('agatisées', 'fp'), ('agatisés', 'mp')]",variations en genre et en nombre silencieuses
agaçant,"[('agaçant', 'ms'), ('agaçante', 'fs'), ('agaçantes', 'fp'), ('agaçants', 'mp')]",variations en genre audible et en nombre silencieuses
agenais,"[('agenais', 'm'), ('agenaise', 'fs'), ('agenaises', 'fp')]",variations en genre audible et en nombre silencieuses
agenois,"[('agenois', 'm'), ('agenoise', 'fs'), ('agenoises', 'fp')]",variations en genre audible et en nombre silencieuses
agglomérant,"[('agglomérant', 'ms'), ('agglomérante', 'fs'), ('agglomérantes', 'fp'), ('agglomérants', 'mp')]",variations en genre audible et en nombre silencieuses
aggloméré,"[('aggloméré', 'ms'), ('agglomérée', 'fs'), ('agglomérées', 'fp'), ('agglomérés', 'mp')]",variations en genre et en nombre silencieuses
agglutinant,"[('agglutinant', 'ms'), ('agglutinante', 'fs'), ('agglutinantes', 'fp'), ('agglutinants', 'mp')]",variations en genre audible et en nombre silencieuses
agglutiné,"[('agglutiné', 'ms'), ('agglutinée', 'fs'), ('agglutinées', 'fp'), ('agglutinés', 'mp')]",variations en genre et en nombre silencieuses
aggravant,"[('aggravant', 'ms'), ('aggravante', 'fs'), ('aggravantes', 'fp'), ('aggravants', 'mp')]",variations en genre audible et en nombre silencieuses
agile,"[('agile', 's'), ('agiles', 'p')]",variations en genre et en nombre silencieuses
agissant,"[('agissant', 'ms'), ('agissante', 'fs'), ('agissantes', 'fp'), ('agissants', 'mp')]",variations en genre audible et en nombre silencieuses
agitant,"[('agitant', 'ms'), ('agitante', 'fs'), ('agitantes', 'fp'), ('agitants', 'mp')]",variations en genre audible et en nombre silencieuses
agité,"[('agité', 'ms'), ('agitée', 'fs'), ('agitées', 'fp'), ('agités', 'mp')]",variations en genre et en nombre silencieuses
aglyphe,"[('aglyphe', 's'), ('aglyphes', 'p')]",variations en genre et en nombre silencieuses
agnat,"[('agnat', 'ms'), ('agnate', 'fs'), ('agnates', 'fp'), ('agnats', 'mp')]",variations en genre audible et en nombre silencieuses
agnathe,"[('agnathe', 's'), ('agnathes', 'p')]",variations en genre et en nombre silencieuses
agnelin,"[('agnelin', 'ms'), ('agneline', 'fs'), ('agnelines', 'fp'), ('agnelins', 'mp')]",variations en genre audible et en nombre silencieuses
agnostique,"[('agnostique', 's'), ('agnostiques', 'p')]",variations en genre et en nombre silencieuses
agonisant,"[('agonisant', 'ms'), ('agonisante', 'fs'), ('agonisantes', 'fp'), ('agonisants', 'mp')]",variations en genre audible et en nombre silencieuses
agoniste,"[('agoniste', 's'), ('agonistes', 'p')]",variations en genre et en nombre silencieuses
agrafeur,"[('agrafeur', 'ms'), ('agrafeurs', 'mp'), ('agrafeuse', 'fs'), ('agrafeuses', 'fp')]",invariable
agraire,"[('agraire', 's'), ('agraires', 'p')]",variations en genre et en nombre silencieuses
agrammatical,"[('agrammatical', 'ms'), ('agrammaticale', 'fs'), ('agrammaticales', 'fp'), ('agrammaticaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
agrandi,"[('agrandi', 'ms'), ('agrandie', 'fs'), ('agrandies', 'fp'), ('agrandis', 'mp')]",variations en genre et en nombre silencieuses
agrarien,"[('agrarien', 'ms'), ('agrarienne', 'fs'), ('agrariennes', 'fp'), ('agrariens', 'mp')]",variations en genre audible et en nombre silencieuses
agressif,"[('agressif', 'ms'), ('agressifs', 'mp'), ('agressive', 'fs'), ('agressives', 'fp')]",variations en genre audible et en nombre silencieuses
agressé,"[('agressé', 'ms'), ('agressée', 'fs'), ('agressées', 'fp'), ('agressés', 'mp')]",variations en genre et en nombre silencieuses
agreste,"[('agreste', 's'), ('agrestes', 'p')]",variations en genre et en nombre silencieuses
agricole,"[('agricole', 's'), ('agricoles', 'p')]",variations en genre et en nombre silencieuses
agro-alimentaire,"[('agro-alimentaire', 's'), ('agro-alimentaires', 'p')]",variations en genre et en nombre silencieuses
agroalimentaire,"[('agroalimentaire', 's'), ('agroalimentaires', 'p')]",variations en genre et en nombre silencieuses
agrochimique,"[('agrochimique', 's'), ('agrochimiques', 'p')]",variations en genre et en nombre silencieuses
